,author
 محمد العصيمي,13
عمر عريبي- سبق- جازان:,13
عبدالرحمن السلطان,13
واس - مكة المكرمة,13
الباحة - واس:,13
مكة المكرمة: حسن الناصري,13
أبها: سلمان عسكر,13
مكة - بسام اللحياني:,13
 جابر العميري (جدة),13
الباحة - خالد زاهي:,13
كتب - زيد السبيعي:,13
الدمام: علي القطان,13
جدة: إبراهيم القرشي,13
سبق- مكة المكرمة:,13
لندن ـ رويترز:,13
جدة: خلدون غسان سعيد,13
اليوم - الخبر,13
 متعب العبيد (الرياض),13
 عبدالخالق الغامدي (الباحة),13
القاهرة: خالد محمود,13
صالح الشيحي,12
الرياض: بندر التركي,12
وكالات - بغداد,12
منال الأحمدي من جدة,12
تبوك - واس:,12
 خالد الحميدي (مكة المكرمة),12
بيروت: يوسف دياب,12
القاهرة: أحمد الغمراوي,12
أبوظبي: «الشرق الأوسط»,12
&nbsp;أحمد الشميري (صنعاء),12
عدن: محمد علي محسن,12
المجمعة - صالح الدهش:,12
د. سليمان العلوْيط,12
لندن - أ ف ب,12
اليوم - أبها,12
الرياض - خالد العوفي,12
الطائف: نورة الثقفي,12
واشنطن - د ب أ,12
الجوف - أحمد الحجاج:,12
عدن - واس,12
خليفة الهاملي من بريدة,12
عبد العزيز حسين الصويغ,12
سبق- الباحة:,12
الرياض - محمد الشاهين,12
بريدة - بندر العبيد,12
جازان-الوئام:,12
الرياض: نايف الرشيد,12
جدة: عماد عيسى,12
الرياض: يوسف الحمادي,12
الرياض: حسن الصفيان,12
القاهرة: محمد عوض,12
الرياض: أحمد العرياني,12
عبد الله منور الجميلي,12
 متعب العواد (حائل),12
بريدة - طارق الناصر:,12
فهد كاملي- سبق- جازان:,12
عبدالعزيز السلمي- سبق- جدة:,12
مكة المكرمة - تركي الغامدي,12
عبداللطيف المحيسن - الأحساء,12
عبدالله الحرازي - الرياض,12
الرياض: عبد الله الهلابي,12
 ماجد النفيعي (الطائف),12
عبداللطيف المحيسن - الاحساء,12
 محمد المداح (واشنطن),12
 حازم المطيري (الرياض),12
لندن : (رويترز),12
المنامة - واس,11
الوئام - ا ف ب,11
مكة - الوئام - حجب العصيمي :,11
بغداد: علاء حسن,11
 محمد حفني (القاهرة),11
